name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-20,7:11 PM,-,-,-,99.5,0,99.000 / 10,99.400 / 14,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-21,7:12 PM,-,-,-,99.5,0,99.000 / 10,99.400 / 11,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-22,7:12 PM,99.4,99.4,99.7,99.7,111,99.100 / 100,99.700 / 51,Bond & Loan,Bond Islamic,0.0020100502512563102
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-25,7:12 PM,-,-,-,99.7,0,99.000 / 40,99.700 / 50,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-26,7:12 PM,-,-,-,99.7,0,99.000 / 110,99.700 / 20,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-27,7:12 PM,-,-,-,99.7,0,99.000 / 10,99.700 / 50,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-28,7:12 PM,-,-,-,99.7,0,99.000 / 40,99.500 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-03-29,7:12 PM,99.8,99.8,99.8,99.8,10,99.000 / 10,99.800 / 41,Bond & Loan,Bond Islamic,0.0010030090270811867
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-01,7:12 PM,99.000,99.000,99.000,99.0,10,98.900 / 10,99.500 / 3,Bond & Loan,Bond Islamic,-0.008016032064128228
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-02,7:12 PM,-,-,-,99.0,0,98.900 / 10,99.700 / 40,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-03,7:12 PM,-,-,-,99.0,0,98.950 / 30,99.600 / 5,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-04,7:12 PM,-,-,-,99.0,0,99.000 / 10,99.900 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-05,7:12 PM,-,-,-,99.0,0,99.000 / 40,99.700 / 40,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-08,7:12 PM,-,-,-,99.0,0,99.000 / 10,99.800 / 100,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-09,7:12 PM,-,-,-,99.0,0,99.000 / 10,99.900 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-10,7:12 PM,-,-,-,99.0,0,99.000 / 10,99.900 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-11,7:12 PM,-,-,-,99.0,0,99.000 / 10,99.900 / 10,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4%0223,0400GA,2019-04-12,7:12 PM,99.000,99.000,99.000,99.0,1,99.000 / 9,99.800 / 3,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-02-25,6:29 PM,-,-,-,98.86,0,99.000 / 20,100.500 / 20,Bond & Loan,Bond Islamic,
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-02-26,7:11 PM,-,-,-,98.86,0,99.500 / 10,100.500 / 30,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-02-27,7:11 PM,-,-,-,98.86,0,99.500 / 10,100.500 / 30,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-02-28,7:11 PM,-,-,-,98.86,0,99.600 / 100,100.400 / 5,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-01,7:11 PM,-,-,-,98.86,0,99.500 / 60,100.500 / 20,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-04,7:11 PM,-,-,-,98.86,0,99.500 / 20,100.500 / 40,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-05,7:11 PM,-,-,-,98.86,0,99.500 / 10,100.000 / 5,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-06,7:11 PM,-,-,-,98.86,0,99.500 / 10,100.500 / 30,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-07,7:11 PM,-,-,-,98.86,0,99.000 / 20,100.500 / 20,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-08,7:11 PM,100.5,100.5,100.5,100.5,30,100.300 / 10,101.300 / 10,Bond & Loan,Bond Islamic,0.016589115921505162
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-11,7:11 PM,-,-,-,100.5,0,100.300 / 130,101.200 / 5,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-12,7:11 PM,-,-,-,100.5,0,100.400 / 30,101.200 / 5,Bond & Loan,Bond Islamic,0.0
DANAINFRA NASIONAL-ETBS 4.23%0721,0400GC,2019-03-13,7:13 PM,-,-,-,100.5,0,100.300 / 130,101.300 / 20,Bond & Loan,Bond Islamic,0.0
