name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-08,7:11 PM,0.826,0.826,0.826,0.826,12,0.818 / 330,0.826 / 318,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-11,7:11 PM,-,-,-,0.8059999999999999,0,0.802 / 300,0.810 / 300,ETF,Exchange Traded Fund-Equity,-0.024213075060532708
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-12,7:11 PM,-,-,-,0.8059999999999999,0,0.820 / 330,0.828 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-13,7:13 PM,-,-,-,0.8059999999999999,0,0.800 / 330,0.807 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-14,7:12 PM,-,-,-,0.8059999999999999,0,0.806 / 330,0.814 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-15,7:12 PM,-,-,-,0.8059999999999999,0,0.806 / 330,0.814 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-18,7:12 PM,-,-,-,0.8059999999999999,0,0.807 / 330,0.814 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-19,7:12 PM,-,-,-,0.8059999999999999,0,0.810 / 330,0.815 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-20,7:11 PM,0.807,0.807,0.807,0.807,40,0.800 / 300,0.807 / 260,ETF,Exchange Traded Fund-Equity,0.0012406947890820248
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-21,7:12 PM,-,-,-,0.807,0,0.803 / 304,0.810 / 300,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-22,7:12 PM,-,-,-,0.807,0,0.805 / 330,0.812 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-25,7:12 PM,-,-,-,0.807,0,0.807 / 331,0.814 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-26,7:12 PM,-,-,-,0.807,0,0.802 / 330,0.809 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-27,7:12 PM,-,-,-,0.807,0,0.803 / 330,0.810 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-28,7:12 PM,-,-,-,0.807,0,0.801 / 330,0.808 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-03-29,7:12 PM,-,-,-,0.807,0,0.809 / 330,0.816 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-01,7:12 PM,-,-,-,0.807,0,0.808 / 330,0.816 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-02,7:12 PM,-,-,-,0.807,0,0.801 / 330,0.807 / 20,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-03,7:12 PM,0.819,0.819,0.819,0.8190000000000001,1,0.811 / 330,0.819 / 329,ETF,Exchange Traded Fund-Equity,0.014869888475836444
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-04,7:12 PM,0.817,0.817,0.817,0.8170000000000001,1,0.812 / 330,0.817 / 19,ETF,Exchange Traded Fund-Equity,-0.002442002442002444
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-05,7:12 PM,-,-,-,0.8170000000000001,0,0.814 / 355,0.822 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-08,7:12 PM,-,-,-,0.8170000000000001,0,0.814 / 300,0.816 / 19,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-09,7:12 PM,0.816,0.816,0.816,0.816,19,0.818 / 330,0.826 / 330,ETF,Exchange Traded Fund-Equity,-0.0012239902080784725
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-10,7:12 PM,-,-,-,0.816,0,0.822 / 330,0.830 / 330,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-11,7:12 PM,0.83,0.822,0.83,0.8220000000000001,12,0.821 / 330,0.829 / 330,ETF,Exchange Traded Fund-Equity,0.007352941176470731
MyETF MSCI SEA ISLAMIC DIVIDEND,0825EA,2019-04-12,7:12 PM,-,-,-,0.8220000000000001,0,0.824 / 330,0.832 / 330,ETF,Exchange Traded Fund-Equity,0.0
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-02-25,6:29 PM,5.63,5.63,5.64,5.64,15,5.640 / 20,0.000 / 0,ETF,Exchange Traded Fund-Equity,
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-02-26,7:11 PM,-,-,-,5.64,0,5.640 / 300,5.700 / 90,ETF,Exchange Traded Fund-Equity,0.0
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-02-27,7:11 PM,-,-,-,5.64,0,5.550 / 50,0.000 / 0,ETF,Exchange Traded Fund-Equity,0.0
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-02-28,7:11 PM,5.66,5.66,5.66,5.66,3,5.590 / 20,0.000 / 0,ETF,Exchange Traded Fund-Equity,0.003546099290780224
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-03-01,7:11 PM,5.68,5.68,5.68,5.68,100,5.640 / 50,5.710 / 50,ETF,Exchange Traded Fund-Equity,0.003533568904593564
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-03-04,7:11 PM,5.73,5.73,5.73,5.73,22,5.700 / 1,0.000 / 0,ETF,Exchange Traded Fund-Equity,0.008802816901408576
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-03-05,7:11 PM,5.75,5.75,5.76,5.76,12,5.700 / 1,0.000 / 0,ETF,Exchange Traded Fund-Equity,0.005235602094240726
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-03-06,7:11 PM,5.76,5.74,5.76,5.75,801,5.500 / 1,0.000 / 0,ETF,Exchange Traded Fund-Equity,-0.0017361111111110742
TRADEPLUS S&P NEW CHINA TRACKER-MYR,0829EA,2019-03-07,7:11 PM,5.78,5.75,5.78,5.76,21,5.720 / 10,0.000 / 0,ETF,Exchange Traded Fund-Equity,0.0017391304347825715
