name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
SERBADK-CP: CW SERBA DINAMIK HOLDINGS BERHAD (KIBB),5279CP,22-Mar-19,7:12 PM,-,-,-,0.075,0,0.000 / 0,0.000 / 0
SERBADK-CQ: CW SERBA DINAMIK HOLDINGS BERHAD (RHB),5279CQ,22-Mar-19,7:12 PM,-,-,-,0.17,0,0.000 / 0,0.000 / 0
SERBADK-CR: CW SERBA DINAMIK HOLDINGS BERHAD (MIBB),5279CR,22-Mar-19,7:12 PM,-,-,-,0.15,0,0.000 / 0,0.300 / 50
SERBADK-CS: CW SERBA DINAMIK HOLDINGS BERHAD (AM),5279CS,22-Mar-19,7:12 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
SERN KOU RESOURCES BHD,7180,22-Mar-19,7:12 PM,0.525,0.52,0.53,0.53,726,0.515 / 50,0.530 / 80
SERN KOU RESOURCES BERHAD - WARRANTS 2018/2023,7180WA,22-Mar-19,7:12 PM,0.185,0.185,0.23,0.23,639,0.200 / 100,0.240 / 370
SERSOL BERHAD,55,22-Mar-19,7:12 PM,0.095,0.095,0.1,0.1,602,"0.095 / 4,370",0.100 / 787
SERSOL BERHAD - WARR13/23,0055WA,22-Mar-19,7:12 PM,-,-,-,0.045,0,"0.040 / 3,800","0.045 / 2,596"
SHANGRI-LA HOTELS (M) BHD,5517,22-Mar-19,7:12 PM,5.6,5.6,5.63,5.6,"1,623",5.570 / 1,5.600 / 80
SIN HENG CHAN (MALAYA) BHD,4316,22-Mar-19,7:12 PM,-,-,-,0.37,0,0.330 / 150,0.370 / 6
SHH RESOURCES HOLDINGS BHD,7412,22-Mar-19,7:12 PM,-,-,-,0.495,0,0.475 / 70,0.515 / 30
SHL CONSOLIDATED BHD,6017,22-Mar-19,7:12 PM,2.37,2.37,2.4,2.4,130,2.330 / 100,2.460 / 12
SIG GASES BERHAD,5181,22-Mar-19,7:12 PM,0.865,0.865,0.91,0.9,"11,368",0.895 / 380,0.900 / 80
SIGNATURE INTERNATIONAL BHD,7246,22-Mar-19,7:12 PM,0.455,0.455,0.455,0.455,451,0.455 / 19,0.460 / 420
SIGNATURE INTERNATIONAL BERHAD - WARRANTS 2016/2021,7246WA,22-Mar-19,7:12 PM,0.08,0.08,0.08,0.08,200,"0.075 / 1,060",0.080 / 5
SIME DARBY BHD,4197,22-Mar-19,7:12 PM,2.19,2.19,2.23,2.23,"60,856",2.210 / 100,2.230 / 122
SIME-C25: CW SIME DARBY BERHAD (MIBB),419725,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
SIME-C27: CW SIME DARBY BERHAD (CIMB),419727,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.010 / 930
SIME-C28: CW SIME DARBY BERHAD (RHB),419728,22-Mar-19,7:12 PM,-,-,-,0.015,0,0.000 / 0,0.000 / 0
SIME-C29: CW SIME DARBY BERHAD (MACQ),419729,22-Mar-19,7:12 PM,-,-,-,0.04,0,0.000 / 0,0.000 / 0
SIME-C30: CW SIME DARBY BERHAD (MACQ),419730,22-Mar-19,7:12 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
SIME-C31: CW SIME DARBY BERHAD (KIBB),419731,22-Mar-19,7:12 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
SIME-C32: CW SIME DARBY BERHAD (MIBB),419732,22-Mar-19,7:12 PM,0.09,0.09,0.09,0.09,"18,000",0.000 / 0,0.000 / 0
SIME-C33: CW SIME DARBY BERHAD (CIMB),419733,22-Mar-19,7:12 PM,0.055,0.05,0.055,0.05,"1,010",0.000 / 0,0.000 / 0
SIME DARBY PLANTATION BERHAD,5285,22-Mar-19,7:12 PM,5.04,5.01,5.07,5.07,"13,669",5.060 / 72,5.070 / 100
SIMEPLT-CH: CW SIME DARBY PLANTATION BERHAD (MACQ),5285CH,22-Mar-19,7:12 PM,-,-,-,0.03,0,0.000 / 0,0.000 / 0
SIMEPLT-CI: CW SIME DARBY PLANTATION BERHAD (CIMB),5285CI,22-Mar-19,7:12 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
SIMEPLT-CJ: CW SIME DARBY PLANTATION BERHAD (MIBB),5285CJ,22-Mar-19,7:12 PM,0.09,0.09,0.09,0.09,"1,000",0.000 / 0,0.000 / 0
SIMEPLT-CK: CW SIME DARBY PLANTATION BERHAD (KIBB),5285CK,22-Mar-19,7:12 PM,-,-,-,0.15,0,0.000 / 0,0.000 / 0
SIME DARBY PROPERTY BERHAD,5288,22-Mar-19,7:12 PM,1.08,1.08,1.12,1.1,"12,281",1.080 / 550,1.100 / 192
SIMEPROP-CG: CW SIME DARBY PROPERTY BERHAD (MIBB),5288CG,22-Mar-19,7:12 PM,-,-,-,0.02,0,0.000 / 0,0.000 / 0
SIMEPROP-CH: CW SIME DARBY PROPERTY BERHAD (MACQ),5288CH,22-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
SIMEPROP-CJ: CW SIME DARBY PROPERTY BERHAD (CIMB),5288CJ,22-Mar-19,7:12 PM,-,-,-,0.02,0,0.005 / 200,0.000 / 0
SIMEPROP-CK: CW SIME DARBY PROPERTY BERHAD (RHB),5288CK,22-Mar-19,7:12 PM,-,-,-,0.045,0,0.000 / 0,0.000 / 0
SIMEPROP-CL: CW SIME DARBY PROPERTY BERHAD (KIBB),5288CL,22-Mar-19,7:12 PM,0.065,0.065,0.065,0.065,500,0.000 / 0,0.000 / 0
SINOTOP HOLDINGS BERHAD,8532,22-Mar-19,7:12 PM,0.275,0.275,0.275,0.275,112,0.275 / 203,0.295 / 246
SENI JAYA CORPORATION BHD,9431,22-Mar-19,7:12 PM,-,-,-,0.54,0,0.550 / 50,0.590 / 20
SKB SHUTTERS CORPORATION BHD,7115,22-Mar-19,7:12 PM,0.58,0.58,0.58,0.58,10,0.580 / 641,0.700 / 250
SKP RESOURCES BHD,7155,22-Mar-19,7:12 PM,1.34,1.33,1.35,1.34,"6,521","1.340 / 9,330","1.350 / 1,203"
SKPRES-CN: CW SKP RESOURCES BERHAD (AM),7155CN,22-Mar-19,7:12 PM,-,-,-,0.04,0,0.000 / 0,0.000 / 0
SKPRES-CO: CW SKP RESOURCES BERHAD (RHB),7155CO,22-Mar-19,7:12 PM,-,-,-,0.045,0,"0.035 / 5,500","0.050 / 2,000"
SKPRES-CP: CW SKP RESOURCES BERHAD (KIBB),7155CP,22-Mar-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
SKPRES-CQ: CW SKP RESOURCES BERHAD (MIBB),7155CQ,22-Mar-19,7:12 PM,0.115,0.115,0.115,0.115,"8,000",0.000 / 0,0.000 / 0
