full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
AYS VENTURES BERHAD,"AYS (5021) [s]
AYS VENTURES BERHAD Summary",Industrial Products & Services - Main Market,0.320 - 0.435,6.78,7,4.88,1,0.0286,0.49,155.28,0,133.1M,Neutral 49.9,Neutral 37.5
HENG HUAT RESOURCES GROUP BERHAD,"HHGROUP (0175)
HENG HUAT RESOURCES GROUP BERHAD Summary",Industrial Products & Services - Ace Market,0.115 - 0.235,-4.44,-12,-1.03,0,0,0.52,33.78,0,40.7M,Neutral 37.8,Oversold 20.0
WMG HOLDINGS BERHAD,"WMG (6378) [s]
WMG HOLDINGS BERHAD Summary",Property - Main Market,0.105 - 0.250,-8.13,-2,-5.31,0,0,0.18,5.91,2,51.1M,Neutral 44.8,Neutral 25.0
CSC STEEL HOLDINGS BERHAD,"CSCSTEL (5094) [s]
CSC STEEL HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.975 - 1.440,2.64,19,5.76,0,0,0.49,363.78,0,406.6M,Neutral 41.2,Oversold 13.3
JAG BERHAD,"JAG (0024) [s]
JAG BERHAD Summary",Industrial Products & Services - Ace Market,0.035 - 0.090,1.3,41,0.12,0,0,0.54,10.19,0,75.8M,Neutral 40.6,Neutral 33.3
PRG HOLDINGS BERHAD,"PRG (7168) [s]
PRG HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.700 - 0.920,-6.67,-26,-2.84,0,0,1.75,46.06,2,240.4M,Oversold 28.6,Neutral 50.0
ABM FUJIYA BERHAD,"AFUJIYA (5198) [s]
ABM FUJIYA BERHAD Summary",Industrial Products & Services - Main Market,0.370 - 0.740,2.72,21,2.39,0,0,0.58,62.24,1,91.8M,Neutral 48.9,Neutral 36.7
ONLY WORLD GROUP HOLDINGS BERHAD,"OWG (5260)
ONLY WORLD GROUP HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.460 - 1.230,5.29,13,4.98,0,0,0.66,48.98,1,173.2M,Neutral 52.7,Oversold 14.8
SUCCESS TRANSFORMER CORPORATION BERHAD,"SUCCESS (7207) [s]
SUCCESS TRANSFORMER CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.520 - 1.060,1.69,31,2.4,2.41,0.0328,0.52,128.81,1,182.6M,Overbought 70.8,Overbought 86.7
GLOBALTEC FORMATION BERHAD,"GLOTEC (5220) [s]
GLOBALTEC FORMATION BERHAD Summary",Industrial Products & Services - Main Market,0.025 - 0.700,1.4,36,1.32,0,0,0.5,76.84,1,126.5M,Neutral 40.0,Neutral 37.5
SEREMBAN ENGINEERING BERHAD,"SEB (5163)
SEREMBAN ENGINEERING BERHAD Summary",Industrial Products & Services - Main Market,0.180 - 0.480,-31.42,-5,-9.74,0,0,1.44,81.58,1,35.6M,Overbought 78.3,Overbought 85.7
MERCURY INDUSTRIES BERHAD,"MERCURY (8192) [s]
MERCURY INDUSTRIES BERHAD Summary",Construction - Main Market,0.860 - 1.540,1.83,26,3.35,0,0,0.47,260.96,0,34.6M,Neutral 38.5,Oversold 0.0
